zip,Zipcode name,City,State,County Name
8201,"ABSECON, NJ",ABSECON,NJ,ATLANTIC
8205,"ABSECON, NJ",ABSECON,NJ,ATLANTIC
7710,"ADELPHIA, NJ",ADELPHIA,NJ,MONMOUTH
7820,"ALLAMUCHY, NJ",ALLAMUCHY,NJ,WARREN
7401,"ALLENDALE, NJ",ALLENDALE,NJ,BERGEN
7711,"ALLENHURST, NJ",ALLENHURST,NJ,MONMOUTH
8501,"ALLENTOWN, NJ",ALLENTOWN,NJ,MONMOUTH
8720,"ALLENWOOD, NJ",ALLENWOOD,NJ,MONMOUTH
8001,"ALLOWAY, NJ",ALLOWAY,NJ,SALEM
7620,"ALPINE, NJ",ALPINE,NJ,BERGEN
7821,"ANDOVER, NJ",ANDOVER,NJ,SUSSEX
8801,"ANNANDALE, NJ",ANNANDALE,NJ,HUNTERDON
8802,"ASBURY, NJ",ASBURY,NJ,HUNTERDON
7712,"ASBURY PARK, NJ",ASBURY PARK,NJ,MONMOUTH
8004,"ATCO, NJ",ATCO,NJ,CAMDEN
8401,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
8404,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
8405,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
7716,"ATLANTIC HIGHLANDS, NJ",ATLANTIC HIGHLANDS,NJ,MONMOUTH
8106,"AUDUBON, NJ",AUDUBON,NJ,CAMDEN
7822,"AUGUSTA, NJ",AUGUSTA,NJ,SUSSEX
8202,"AVALON, NJ",AVALON,NJ,CAPE MAY
7001,"AVENEL, NJ",AVENEL,NJ,MIDDLESEX
7717,"AVON BY THE SEA, NJ",AVON BY THE SEA,NJ,MONMOUTH
8803,"BAPTISTOWN, NJ",BAPTISTOWN,NJ,HUNTERDON
8005,"BARNEGAT, NJ",BARNEGAT,NJ,OCEAN
8006,"BARNEGAT LIGHT, NJ",BARNEGAT LIGHT,NJ,OCEAN
