Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
ELEC,Element Hotels - Ewing,1000 Sam Weinroth Rd,Ewing,NJ,8628,40.286518,-74.807516
ELEC,PALMER SQUARE CHAMBERS GARAGE,25 Chambers St,Princeton,NJ,8542,40.350118,-74.662732
ELEC,Elizabeth Parking Authority - J Christian Bollwage Garage,37 Caldwell Pl,Elizabeth,NJ,7201,40.663848,-74.216585
ELEC,FLASTER GREENBERG PC,1810 Chapel Ave W,Cherry Hill,NJ,8002,39.934849,-75.029991
ELEC,Elite Nissan of Bergenfield,318 S Washington Ave,Bergenfield,NJ,7621,40.917338,-73.997447
ELEC,Lynnes Nissan City,318 Bloomfield Ave,Bloomfield,NJ,7003,40.784797,-74.193494
ELEC,Route 23 Nissan,1301 Route 23,Butler,NJ,7405,40.991256,-74.347338
ELEC,Route 23 Nissan,1301 Route 23,Butler,NJ,7405,40.991256,-74.347338
ELEC,Cherry Hill Nissan,2325 Route 38,Cherry Hill,NJ,8002,39.939502,-75.011984
ELEC,Cherry Hill Nissan,2325 Route 38,Cherry Hill,NJ,8002,39.939502,-75.011984
ELEC,Hilltop Nissan,258 Route 10,East Hanover,NJ,7936,40.807195,-74.371329
ELEC,Fred Beans Nissan - Flemington,172 US Highway 202,Flemington,NJ,8822,40.48774,-74.86328
ELEC,Fred Beans Nissan - Flemington,172 US Highway 202,Flemington,NJ,8822,40.48774,-74.86328
ELEC,DCH Freehold Nissan,4041 Route 9 N,Freehold,,7728,40.263381,-74.292408
ELEC,DCH Freehold Nissan,4041 Route 9 N,Freehold,NJ,7728,40.263381,-74.292408
ELEC,Mt. Holly Nissan,1513 Route 38,Hainesport,NJ,8036,39.982438,-74.808764
ELEC,Route 33 Nissan,951 US Highway 33,Hamilton Square,NJ,8690,40.229274,-74.672155
ELEC,Route 17 Nissan,45 Route 17 S,Hasbrouck Heights,NJ,7604,40.850992,-74.075092
ELEC,Route 17 Nissan,45 Route 17 S,Hasbrouck Heights,NJ,7604,40.850992,-74.075092
ELEC,Route 22 Nissan,56 Route 22 E,Hillside,NJ,7205,40.696469,-74.219681
