ADDRESS_LINE_1,CITY,STATE_OR_COUNTRY_CODE,ZIP_CODE,COUNTY,MUNICIPALITY
1116 STONE HARBOR BLVD,MIDDLE TWP,NJ  ,8247,CAPE MAY,MIDDLE TWP
8018 3RD AVE,STONE HARBOR,NJ  ,8247,CAPE MAY,STONE HARBOR BORO
401 S MAIN ST,MIDDLE TWP,NJ  ,8210,CAPE MAY,MIDDLE TWP
518 STONE HARBOR BLVD,MIDDLE TWP,NJ  ,8260,CAPE MAY,MIDDLE TWP
233 N MAIN ST,MIDDLE TWP,NJ  ,8210,CAPE MAY,MIDDLE TWP
2889 OCEAN DR,AVALON,NJ  ,8202,CAPE MAY,AVALON BORO
701 OLD AVALON BLVD,MIDDLE TWP,NJ  ,8202,CAPE MAY,MIDDLE TWP
RT 9 & AVALON BLVD,SWAINTON,NJ  ,8210,CAPE MAY,MIDDLE TWP
GARDEN STATE PKWY MM 13.8,MIDDLE TWP,NJ  ,8210,CAPE MAY,MIDDLE TWP
GARDEN STATE PKWY MM 14,MIDDLE TWP,NJ  ,8204,CAPE MAY,MIDDLE TWP
1708 RT 9,SWAINTON,NJ  ,8210,CAPE MAY,MIDDLE TWP
4001 KNEASS AVE,SEA ISLE CITY,NJ  ,8243,CAPE MAY,SEA ISLE CITY
2500 SEA ISLE BLVD,OCEAN VIEW,NJ  ,8230,CAPE MAY,DENNIS TWP
GARDEN STATE PKWY MM 18.3,DENNIS TWP,NJ  ,8250,CAPE MAY,DENNIS TWP
1235 DELSEA DR,DENNIS TWP,NJ  ,8214,CAPE MAY,DENNIS TWP
2080 SHORE RD & RT 50 ,UPPER TWP,NJ  ,8250,CAPE MAY,UPPER TWP
600 KENNEDY DR,WOODBINE,NJ  ,8270,CAPE MAY,WOODBINE BORO
SHELL RD,COMMERCIAL TWP,NJ  ,8349,CUMBERLAND,COMMERCIAL TWP
618 WASHINGTON AVE,WOODBINE,NJ  ,8270,CAPE MAY,WOODBINE BORO
215 24TH ST,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
551 ROOSEVELT BLVD,MARMORA,NJ  ,8223,CAPE MAY,UPPER TWP
30 SHORE RD,MARMORA,NJ  ,8223,CAPE MAY,UPPER TWP
9TH ST & WEST AVE,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
201 E 9TH ST,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
903 BAY AVE,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
1 7 W 9TH ST,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
19 9TH ST,OCEAN CITY,NJ  ,8226,CAPE MAY,OCEAN CITY
3904 DELSEA DR,DORCHESTER,NJ  ,8316,CUMBERLAND,MAURICE RIVER TWP
3890 RT 47,DORCHESTER,NJ  ,8316,CUMBERLAND,MAURICE RIVER TWP
218 MAIN ST,CORBIN CITY,NJ  ,8270,ATLANTIC,CORBIN CITY
129 MAIN ST,DOWNE TWP,NJ  ,8345,CUMBERLAND,DOWNE TWP
1 GOLL AVE ,SOMERS POINT,NJ  ,8232,ATLANTIC,SOMERS POINT CITY
16 MACARTHUR BLVD,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
991 MAYS LANDING RD ,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
303 LONGPORT BLVD,EGG HARBOR TWP,NJ  ,8232,ATLANTIC,EGG HARBOR TWP
660 BAY AVE,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
45 W LAUREL DR ,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
620 642 NEW RD,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
9001 WINCHESTER AVE,MARGATE,NJ  ,8402,ATLANTIC,MARGATE CITY
200 NEW RD,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
7901 VENTNOR AVE,MARGATE,NJ  ,8402,ATLANTIC,MARGATE CITY
112 NEW RD,SOMERS POINT,NJ  ,8244,ATLANTIC,SOMERS POINT CITY
7701 VENTNOR AVE,MARGATE,NJ  ,8402,ATLANTIC,MARGATE CITY
56 58 W MAPLE AVE,CEDARVILLE,NJ  ,8311,CUMBERLAND,LAWRENCE TWP
1711 NEW RD,LINWOOD,NJ  ,8221,ATLANTIC,LINWOOD CITY
3701 VENTNOR AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
101 111 ALBANY AVE ,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
3114 ARCTIC AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
600 NEW RD,LINWOOD,NJ  ,8221,ATLANTIC,LINWOOD CITY
2507 ATLANTIC AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
9 N ARKANSAS AVE,ATLANTIC CITY,NJ  ,8411,ATLANTIC,ATLANTIC CITY
3001 OCEAN HEIGHTS AVE,EGG HARBOR TWP,NJ  ,8221,ATLANTIC,EGG HARBOR TWP
2401 NEW RD,NORTHFIELD,NJ  ,8225,ATLANTIC,NORTHFIELD CITY
5312 RT 49,MILLVILLE,NJ  ,8332,CUMBERLAND,MILLVILLE CITY
1125 N ALBANY AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
401 ATLANTIC AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
1225 1227 DREXEL AVE,ATLANTIC CITY,NJ  ,8401,ATLANTIC,ATLANTIC CITY
2164 OCEAN HEIGHTS AVE,EGG HARBOR TWP,NJ  ,8282,ATLANTIC,EGG HARBOR TWP
1416 ZION RD,NORTHFIELD,NJ  ,8225,ATLANTIC,NORTHFIELD CITY
1403 ABSECON BLVD,ATLANTIC CITY,NJ  ,8400,ATLANTIC,ATLANTIC CITY
ATLANTIC CITY EXPWY,PLEASANTVILLE,NJ  ,8232,ATLANTIC,PLEASANTVILLE CITY
8006 BLACKHORSE PK,EGG HARBOR TWP,NJ  ,8221,ATLANTIC,EGG HARBOR TWP
1101 S MAIN ST,PLEASANTVILLE,NJ  ,8201,ATLANTIC,PLEASANTVILLE CITY
1 BRIDGETON FAIRTON RD,FAIRFIELD TWP,NJ  ,8320,CUMBERLAND,FAIRFIELD TWP
7054 BLACKHORSE PK,EGG HARBOR TWP,NJ  ,8215,ATLANTIC,EGG HARBOR TWP
910 NEW RD,PLEASANTVILLE,NJ  ,8232,ATLANTIC,PLEASANTVILLE CITY
5100 ENGLISH CREEK AVE,EGG HARBOR TWP,NJ  ,8234,ATLANTIC,EGG HARBOR TWP
444 W VERONA AVE,PLEASANTVILLE,NJ  ,8232,ATLANTIC,PLEASANTVILLE CITY
6801 TILTON RD,EGG HARBOR TWP,NJ  ,8232,ATLANTIC,EGG HARBOR TWP
4012 ATLANTIC BRIGANTINE BLVD,BRIGANTINE,NJ  ,8203,ATLANTIC,BRIGANTINE CITY
3600 ATLANTIC BRIGANTINE BLVD,BRIGANTINE,NJ  ,8203,ATLANTIC,BRIGANTINE CITY
1711 E MAIN ST,MILLVILLE CITY,NJ  ,8332,CUMBERLAND,MILLVILLE CITY
3401 ATLANTIC BRIGANTINE BLVD,BRIGANTINE,NJ  ,8203,ATLANTIC,BRIGANTINE CITY
1025 BLACKHORSE PK,PLEASANTVILLE CITY,NJ  ,8234,ATLANTIC,PLEASANTVILLE CITY
129 MAIN ST,MILLVILLE,NJ  ,8332,CUMBERLAND,MILLVILLE CITY
624 W MAIN ST,MILLVILLE,NJ  ,8332,CUMBERLAND,MILLVILLE CITY
RT 322 & FIRE RD,EGG HARBOR TWP,NJ  ,8232,ATLANTIC,EGG HARBOR TWP
6752 BLACKHORSE PK,EGG HARBOR TWP,NJ  ,8232,ATLANTIC,EGG HARBOR TWP
918 W MAIN ST,MILLVILLE,NJ  ,8332,CUMBERLAND,MILLVILLE CITY
