Municipality Name,County, Total,,,,,,,,,,,,,,,
Aberdeen township,Monmouth,139502619,,,,,,,,,,,,,,,
Alexandria township,Hunterdon,33532759,,,,,,,,,,,,,,,
Allamuchy township,Warren,35192623,,,,,,,,,,,,,,,
Allendale borough,Bergen,56912150,,,,,,,,,,,,,,,
Allenhurst borough,Monmouth,3437744,,,,,,,,,,,,,,,
Allentown borough,Monmouth,11680887,,,,,,,,,,,,,,,
Alpha borough,Warren,22297646,,,,,,,,,,,,,,,
Alpine borough,Bergen,12019549,,,,,,,,,,,,,,,
Andover borough,Sussex,6042560,,,,,,,,,,,,,,,
Andover township,Sussex,57711133,,,,,,,,,,,,,,,
Asbury Park city,Monmouth,98882131,,,,,,,,,,,,,,,
Atlantic Highlands borough,Monmouth,32863225,,,,,,,,,,,,,,,
Audubon borough,Camden,54472600,,,,,,,,,,,,,,,
Audubon Park borough,Camden,5649105,,,,,,,,,,,,,,,
Avon-by-the-Sea borough,Monmouth,10678864,,,,,,,,,,,,,,,
Barnegat Light borough,Ocean,3726478,,,,,,,,,,,,,,,
Barnegat township,Ocean,134914455,,,,,,,,,,,,,,,
Barrington borough,Camden,52712935,,,,,,,,,,,,,,,
Bass River township,Burlington,18081005,,,,,,,,,,,,,,,
Bay Head borough,Ocean,6522351,,,,,,,,,,,,,,,
Bayonne city,Hudson,257727312,,,,,,,,,,,,,,,
Beach Haven borough,Ocean,11217491,,,,,,,,,,,,,,,
Beachwood borough,Ocean,48224184,,,,,,,,,,,,,,,
Bedminster township,Somerset,132716290,,,,,,,,,,,,,,,
Belleville township,Essex,165951110,,,,,,,,,,,,,,,
Bellmawr borough,Camden,102880725,,,,,,,,,,,,,,,
Belmar borough,Monmouth,39077215,,,,,,,,,,,,,,,
Belvidere town,Warren,30450111,,,,,,,,,,,,,,,
Bergenfield borough,Bergen,124471651,,,,,,,,,,,,,,,
Berkeley Heights township,Union,112226904,,,,,,,,,,,,,,,
Berkeley township,Ocean,241315662,,,,,,,,,,,,,,,
Berlin borough,Camden,66634400,,,,,,,,,,,,,,,
Berlin township,Camden,71892955,,,,,,,,,,,,,,,
Bernards township,Somerset,283562713,,,,,,,,,,,,,,,
Bernardsville borough,Somerset,69483514,,,,,,,,,,,,,,,
Bethlehem township,Hunterdon,51573791,,,,,,,,,,,,,,,
Beverly city,Burlington,11022270,,,,,,,,,,,,,,,
Blairstown township,Warren,47594582,,,,,,,,,,,,,,,
Bloomfield township,Essex,226728483,,,,,,,,,,,,,,,
Bloomingdale borough,Passaic,60489395,,,,,,,,,,,,,,,
Bloomsbury borough,Hunterdon,11604974,,,,,,,,,,,,,,,
Bogota borough,Bergen,34076155,,,,,,,,,,,,,,,
Boonton town,Morris,104126589,,,,,,,,,,,,,,,
Boonton township,Morris,30182027,,,,,,,,,,,,,,,
Bordentown city,Burlington,35392955,,,,,,,,,,,,,,,
Bordentown township,Burlington,138239370,,,,,,,,,,,,,,,
Bound Brook borough,Somerset,91493230,,,,,,,,,,,,,,,
Bradley Beach borough,Monmouth,24486786,,,,,,,,,,,,,,,
Branchburg township,Somerset,217105210,,,,,,,,,,,,,,,
Branchville borough,Sussex,9272168,,,,,,,,,,,,,,,
Brick township,Ocean,489756322,,,,,,,,,,,,,,,
Bridgewater township,Somerset,514467197,,,,,,,,,,,,,,,
Brielle borough,Monmouth,31524015,,,,,,,,,,,,,,,
Brooklawn borough,Camden,15576010,,,,,,,,,,,,,,,
Burlington city,Burlington,75129410,,,,,,,,,,,,,,,
Burlington township,Burlington,282884490,,,,,,,,,,,,,,,
Butler borough,Morris,75963289,,,,,,,,,,,,,,,
Byram township,Sussex,66290354,,,,,,,,,,,,,,,
Caldwell borough,Essex,55349129,,,,,,,,,,,,,,,
Califon borough,Hunterdon,7639621,,,,,,,,,,,,,,,
Camden city,Camden,449580355,,,,,,,,,,,,,,,
Carlstadt borough,Bergen,155498843,,,,,,,,,,,,,,,
Carteret borough,Middlesex,196858433,,,,,,,,,,,,,,,
Cedar Grove township,Essex,82665348,,,,,,,,,,,,,,,
Chatham borough,Morris,74551361,,,,,,,,,,,,,,,
Chatham township,Morris,57483144,,,,,,,,,,,,,,,
Cherry Hill township,Camden,710510095,,,,,,,,,,,,,,,
Chesilhurst borough,Camden,8932645,,,,,,,,,,,,,,,
Chester borough,Morris,53099344,,,,,,,,,,,,,,,
Chester township,Morris,56068913,,,,,,,,,,,,,,,
Chesterfield township,Burlington,45851300,,,,,,,,,,,,,,,
Cinnaminson township,Burlington,137933500,,,,,,,,,,,,,,,
City of Orange township,Essex,121330662,,,,,,,,,,,,,,,
Clark township,Union,112119094,,,,,,,,,,,,,,,
Clayton borough,Gloucester,71722865,,,,,,,,,,,,,,,
Clementon borough,Camden,29699320,,,,,,,,,,,,,,,
Cliffside Park borough,Bergen,90108499,,,,,,,,,,,,,,,
Clifton city,Passaic,574080254,,,,,,,,,,,,,,,
Clinton town,Hunterdon,57708808,,,,,,,,,,,,,,,
Clinton township,Hunterdon,115702785,,,,,,,,,,,,,,,
Closter borough,Bergen,68742946,,,,,,,,,,,,,,,
Collingswood borough,Camden,79551020,,,,,,,,,,,,,,,
Colts Neck township,Monmouth,106640477,,,,,,,,,,,,,,,
Cranbury township,Middlesex,100232908,,,,,,,,,,,,,,,
Cranford township,Union,210822189,,,,,,,,,,,,,,,
Cresskill borough,Bergen,60618174,,,,,,,,,,,,,,,
Deal borough,Monmouth,7901547,,,,,,,,,,,,,,,
Delanco township,Burlington,27081175,,,,,,,,,,,,,,,
Delaware township,Hunterdon,27458750,,,,,,,,,,,,,,,
Delran township,Burlington,117897555,,,,,,,,,,,,,,,
Demarest borough,Bergen,29341104,,,,,,,,,,,,,,,
Denville township,Morris,219134967,,,,,,,,,,,,,,,
Deptford township,Gloucester,315853845,,,,,,,,,,,,,,,
Dover town,Morris,164348875,,,,,,,,,,,,,,,
Dumont borough,Bergen,86762800,,,,,,,,,,,,,,,
Dunellen borough,Middlesex,35282388,,,,,,,,,,,,,,,
Eagleswood township,Ocean,25969745,,,,,,,,,,,,,,,
East Amwell township,Hunterdon,29294117,,,,,,,,,,,,,,,
East Brunswick township,Middlesex,406672400,,,,,,,,,,,,,,,
East Greenwich township,Gloucester,86213365,,,,,,,,,,,,,,,
East Hanover township,Morris,219495373,,,,,,,,,,,,,,,
East Newark borough,Hudson,7804031,,,,,,,,,,,,,,,
East Orange city,Essex,249216556,,,,,,,,,,,,,,,
East Rutherford borough,Bergen,195593361,,,,,,,,,,,,,,,
East Windsor township,Mercer,238489540,,,,,,,,,,,,,,,
Eastampton township,Burlington,35747735,,,,,,,,,,,,,,,
Eatontown borough,Monmouth,234781714,,,,,,,,,,,,,,,
Edgewater borough,Bergen,88555531,,,,,,,,,,,,,,,
Edgewater Park township,Burlington,54598160,,,,,,,,,,,,,,,
Edison township,Middlesex,1119929841,,,,,,,,,,,,,,,
Elizabeth city,Union,1301629756,,,,,,,,,,,,,,,
Elk township,Gloucester,37855610,,,,,,,,,,,,,,,
Elmwood Park borough,Bergen,184104886,,,,,,,,,,,,,,,
Emerson borough,Bergen,54577546,,,,,,,,,,,,,,,
Englewood city,Bergen,209626312,,,,,,,,,,,,,,,
Englewood Cliffs borough,Bergen,70387621,,,,,,,,,,,,,,,
Englishtown borough,Monmouth,17791486,,,,,,,,,,,,,,,
